flow_cfs,floodplain_acres,watershed,species
37550.55428929,684.918651827131,North Delta,Spring Run
38196.2830135012,686.392528470366,North Delta,Spring Run
39634.231369463,686.392528470366,North Delta,Spring Run
40704.5502408222,686.392528470366,North Delta,Spring Run
41080.3145621587,686.392528470366,North Delta,Spring Run
42733.0160611347,973.070762002007,North Delta,Spring Run
43340.8590905643,973.070762002007,North Delta,Spring Run
44649.2788986651,973.740729805769,North Delta,Spring Run
45478.3392369539,974.410697609531,North Delta,Spring Run
47239.6653424606,1055.58264867818,North Delta,Spring Run
48491.5941671723,1056.22192771266,North Delta,Spring Run
50593.7327347542,1137.97550602913,North Delta,Spring Run
52254.4507926274,1138.35293020062,North Delta,Spring Run
53320.4641611044,1138.35293020062,North Delta,Spring Run
54715.7096006523,1189.27397744666,North Delta,Spring Run
56227.4009026092,1240.03529433907,North Delta,Spring Run
57681.5684731493,1240.1950246927,North Delta,Spring Run
58767.7520100121,1241.17563309692,North Delta,Spring Run
60591.2863698422,1241.17563309692,North Delta,Spring Run
64940.2567885316,1365.46143525189,North Delta,Spring Run
67676.7662223149,1396.16336502681,North Delta,Spring Run
69249.5102776092,1426.33233267177,North Delta,Spring Run
79479.921875,1445.27520131682,North Delta,Spring Run
95274.2435433101,1728.51161620837,North Delta,Spring Run
109233.636510164,1816.55283342678,North Delta,Spring Run
123686.846565913,1942.78463369361,North Delta,Spring Run
3755.53011225728,0,North Delta,Steelhead
7237.5209996492,0,North Delta,Steelhead
7420.30542347732,2.99009530757576,North Delta,Steelhead
7605.67366457448,2.99009530757576,North Delta,Steelhead
8137.58329224818,2.99009530757576,North Delta,Steelhead
8629.93919476259,2.99009530757576,North Delta,Steelhead
8846.63453689131,5.39388024939394,North Delta,Steelhead
9091.53334534284,5.39388024939394,North Delta,Steelhead
9403.64211828732,5.94056633521212,North Delta,Steelhead
9650.19786056963,9.9477929259697,North Delta,Steelhead
9881.71077631978,9.9477929259697,North Delta,Steelhead
10116.3300473111,11.0262575645455,North Delta,Steelhead
10604.2665873407,11.0262575645455,North Delta,Steelhead
11497.4500815382,12.7329042349091,North Delta,Steelhead
12199.0980852738,14.9692364886061,North Delta,Steelhead
12824.8028244463,18.1975028302727,North Delta,Steelhead
13186.0206500303,18.1975028302727,North Delta,Steelhead
13656.2815747307,18.9155901643788,North Delta,Steelhead
14223.2770000569,19.9922761075606,North Delta,Steelhead
14789.0950441823,21.3922633043636,North Delta,Steelhead
15282.4381399803,22.9801710929091,North Delta,Steelhead
15685.5031714578,32.3693661292121,North Delta,Steelhead
16104.760490936,42.4621209644242,North Delta,Steelhead
16721.6462331235,42.4621209644242,North Delta,Steelhead
17393.5136386908,42.4621209644242,North Delta,Steelhead
17842.2804820237,42.4621209644242,North Delta,Steelhead
18687.5809503944,42.4621209644242,North Delta,Steelhead
19133.1464511908,60.0412097219697,North Delta,Steelhead
19803.2856303095,85.9444398967576,North Delta,Steelhead
20189.4867168538,85.9444398967576,North Delta,Steelhead
20776.991485892,94.4868796762424,North Delta,Steelhead
21387.1585728914,102.671069993758,North Delta,Steelhead
21702.5207732858,102.671069993758,North Delta,Steelhead
22742.2403031136,124.22339623234,North Delta,Steelhead
23524.2950166869,143.777115697786,North Delta,Steelhead
24722.3908051426,148.615442765483,North Delta,Steelhead
25263.6835463441,174.62023002364,North Delta,Steelhead
26457.3184304839,177.952188056044,North Delta,Steelhead
27222.4485550667,197.639261053041,North Delta,Steelhead
28409.8262666869,219.026536874354,North Delta,Steelhead
29539.5452015701,286.386780458859,North Delta,Steelhead
30565.4348263046,347.939056644082,North Delta,Steelhead
31613.2023522831,384.029312405626,North Delta,Steelhead
33057.7578788683,427.093985219957,North Delta,Steelhead
34695.8583842157,520.690369333027,North Delta,Steelhead
35586.8678417021,588.958782262937,North Delta,Steelhead
36396.2519246814,653.353272704056,North Delta,Steelhead
37550.55428929,684.918651827131,North Delta,Steelhead
38196.2830135012,686.392528470366,North Delta,Steelhead
39634.231369463,686.392528470366,North Delta,Steelhead
40704.5502408222,686.392528470366,North Delta,Steelhead
41080.3145621587,686.392528470366,North Delta,Steelhead
42733.0160611347,973.070762002007,North Delta,Steelhead
43340.8590905643,973.070762002007,North Delta,Steelhead
44649.2788986651,973.740729805769,North Delta,Steelhead
45478.3392369539,974.410697609531,North Delta,Steelhead
47239.6653424606,1055.58264867818,North Delta,Steelhead
48491.5941671723,1056.22192771266,North Delta,Steelhead
50593.7327347542,1137.97550602913,North Delta,Steelhead
52254.4507926274,1138.35293020062,North Delta,Steelhead
53320.4641611044,1138.35293020062,North Delta,Steelhead
54715.7096006523,1189.27397744666,North Delta,Steelhead
56227.4009026092,1240.03529433907,North Delta,Steelhead
57681.5684731493,1240.1950246927,North Delta,Steelhead
58767.7520100121,1241.17563309692,North Delta,Steelhead
60591.2863698422,1241.17563309692,North Delta,Steelhead
64940.2567885316,1365.46143525189,North Delta,Steelhead
67676.7662223149,1396.16336502681,North Delta,Steelhead
69249.5102776092,1426.33233267177,North Delta,Steelhead
79479.921875,1445.27520131682,North Delta,Steelhead
95274.2435433101,1728.51161620837,North Delta,Steelhead
109233.636510164,1816.55283342678,North Delta,Steelhead
123686.846565913,1942.78463369361,North Delta,Steelhead
